branch	merged	ahead_main	worktree	origin
alyze-whale-cli	N		-	none
analyze-whale-dashboard	Y	0	-	pushed(synced)
backup-2026-05-19-2300	N	1	-	pushed(synced)
bitunix-10006-ratelimit-fix-2026-06-15	N	0	WT	pushed(synced)
bitunix-b1-entry-attached-stop-2026-06-10	N	0	WT	pushed(synced)
bitunix-b1-first-fill-validation-2026-06-14	Y	0	-	local-ahead(1)
bitunix-b2-maker-execution-2026-06-15	N	0	WT	pushed(synced)
bitunix-backlog-yfinance-removal-2026-06-14	Y	0	-	none
bitunix-bracket-exit-build-2026-06-16	N	2	WT	pushed(synced)
bitunix-bracket-exit-rebased-2026-06-17	N	8	WT	none
bitunix-bracket-exit-redesign-scope-2026-06-16	N	1	WT	none
bitunix-breaker-abstain-partial-equity-2026-06-15	N	0	WT	pushed(synced)
bitunix-breaker-abstain-scoping-2026-06-15	N	1	WT	pushed(synced)
bitunix-d1-drawdown-flatten-fix-2026-06-11	N	0	WT	pushed(synced)
bitunix-d1-netted-close-2026-06-21	N	30	-	pushed(synced)
bitunix-d3-role-2026-06-23	N	47	WT	pushed(synced)
bitunix-d4-concurrent-position-guard-2026-06-20	N	26	-	pushed(synced)
bitunix-day2-expanded-review-2026-06-10	N	3	WT	pushed(synced)
bitunix-dd-cap-config-2026-06-15	N	1	WT	pushed(synced)
bitunix-deblock-eventloop-2026-06-16	N	0	WT	pushed(synced)
bitunix-deploy-batch-2026-06-16	N	0	WT	local-ahead(1)
bitunix-entry-latency-investigation-2026-06-16	N	1	WT	none
bitunix-fillreg-exitguard-fix-2026-06-16	N	1	WT	pushed(synced)
bitunix-five-factor-recovery-2026-06-20	Y	0	-	pushed(synced)
bitunix-fresh-window-eval-2026-06-09	N	3	WT	pushed(synced)
bitunix-hitl-removal-2026-06-13	N	0	WT	pushed(synced)
bitunix-hitl-removal-analysis-2026-06-11	N	4	WT	pushed(synced)
bitunix-htf-vol-classifier-fix-2026-06-08	Y	0	-	pushed(synced)
bitunix-issue1-managed-exit-suppress-2026-06-21	N	2	-	pushed(synced)
bitunix-live-engine-stage1-broker-write	Y	0	-	pushed(synced)
bitunix-live-entry-path-2026-05-29	Y	0	-	pushed(synced)
bitunix-live-exec-safety-review-2026-06-10	N	3	WT	pushed(synced)
bitunix-live-exit-path-2026-05-29	N	4	-	pushed(synced)
bitunix-live-exit-path-2026-05-29-rebased	N	0	WT	pushed(synced)
bitunix-live-exit-path-impl-2026-06-01	N	0	WT	pushed(synced)
bitunix-live-exit-path-impl-session-b-2026-06-01	N	0	WT	pushed(synced)
bitunix-metrics-epoch-2026-06-20	N	28	-	pushed(synced)
bitunix-native-etl-2026-06-18	N	4	WT	pushed(synced)
bitunix-noninteractive-live-auth-2026-06-13	N	0	WT	pushed(synced)
