PCT watch_only_whales (106) snapshot refreshed 2026-08-09T13:06 UTC. Extract 2026-08-10 02:5x UTC.
Screen fields are HELD-basis (compute_polymarket_stats) => realized_pnl_usdc here is INFLATED; must re-audit.

SUMMARY: total=106  n>=50=46  n>=30&<50=20  thin<30=40  provisional=60  favfarmer(avg>0.85)=24  last_trade<=7d=98

PROMOTE POOL (n>=50 AND avg<=0.85), sorted by screen realized desc.
Fields: rank|user|wallet|n|wr|realized_screen|lifetime|span_d|last_trade|prov|avgpx|sub70
4|Kosherlocks|0x82398835fe16616214d928ba87127e28fc1cd9a3|100|0.68|103965|7749|36.7|2026-08-09|0|0.5327|0.85
7|sabsabinxz|0xd3ecb2aee0d65622da559ff356b00e8c2e626603|50|0.66|61782|803|113.2|2026-08-05|0|0.6357|0.54
9|rollobravado|0x3b62c64ebaee15478e8b21765b9f940458655cc8|100|0.76|60465|8602|16.2|2026-08-09|0|0.6811|0.48
10|oss|0x3e0889c560186ad8515e0bff7d01466dc3b3ca4f|56|0.6786|60036|0|620.2|2026-07-15|0|0.687|0.4464   [SKIP: lifetime~0, stale 07-15]
11|GreatestTrader|0x258c8a3ab3f9dd5c1e3bb05f54a9187247b77c23|63|0.746|55222|1530|6.9|2026-08-09|0|0.7014|0.4762
16|ppxtu|0xfb57f8670d2f51a76b0ce40c533ed7d7328c0a46|51|0.8431|45308|343|124.5|2026-07-30|0|0.7818|0.2549
19|hurrican|0x8718865882e085b764825b637788043c16185040|88|0.7727|41810|12746|11.6|2026-08-09|0|0.751|0.3182
22|ZhengYing9999|0x5c07ef274ec004bfdd011b4041f1cfc428b4be1a|67|0.6418|39175|2801|0.8|2026-08-09|0|0.526|0.9552  [SKIP: span0.8d]
24|imnice|0x99518fa0d201e7542ea2b852809da5a5c8d811bd|54|0.8148|35243|2670|102.2|2026-08-09|0|0.7088|0.3889
25|Chelseaone|0xef9b5d5e51eb4987240ed77422352d10604ed5ed|52|0.9038|33742|309|564.2|2026-08-08|0|0.8299|0.1346  [borderline favfarmer avg0.83]
27|Cuco84|0xf3b04dd038fcf191692927c0aa5a38018ea323a1|100|0.78|29822|1685|145.6|2026-08-09|0|0.7901|0.22
28|kapper-betka|0x6129d21da529b6d8d324131a9cf2b37b0b840807|55|0.6545|27309|3705|5.6|2026-08-09|0|0.5941|0.7273
37|ronaldk|0x09e27c2cbcd98c7e821ef66b309506701dcf29de|100|0.86|20271|7|166.8|2026-08-07|0|0.6333|0.53  [SKIP: lifetime~0]
41|lhz6002|0xd3bc202269d0bbd1a158264be8f7e1e0f9e45bd2|100|0.63|18649|1244|4.9|2026-08-09|0|0.5804|0.68
46|0x199dF4...|0x199df422f3460e56931a6af1643a0bb97a9a6e7b|50|0.74|14963|1906|227.1|2026-08-08|0|0.7882|0.2
47|pkz|0x49b60d2cda22653ddc8b6ef21bad6d012a7f170c|84|0.7857|14730|7|45.9|2026-08-09|0|0.6858|0.3929  [SKIP: lifetime~0]
48|viktorurolog16|0xcf9efbdb300d03a6c462eda8840dcc3ab9b1518e|82|0.7439|14646|394|208.5|2026-08-08|0|0.5979|0.7561  [prior conditional #4 - WoW re-audit]
49|ox1star84|0x4a1b8e8d38aecdc9687bb0f601801d59fa44724f|72|0.8611|14633|1268|268.6|2026-08-09|0|0.7018|0.3472  [ALREADY in copy list]
53|buckspredicts|0x70a6798edbf21eb25cbb749569796d1e641aa2eb|59|0.678|12709|1684|22.3|2026-08-09|0|0.5761|0.8644
54|LonnieHawkins|0xa797d6bd8fe6e404bb4d8e4ab3d97c38336fdede|100|0.62|12682|3554|3.1|2026-08-09|0|0.6031|0.53
55|Marsache|0xd6bee3372a632e19d8c7dfc5985b720c286fa543|92|0.6739|12499|1968|639.5|2026-08-09|0|0.7252|0.337
56|VvVvV|0x4b2d0bbb55b0f92e30edbf2e5f944b089a6af0d4|59|0.7966|12067|262|66.4|2026-08-09|0|0.7928|0.2373
63|olddirtyfighter|0x48898de94e70ca0c06c62c57483b3a8d5890e2d8|100|0.76|10264|2512|91.2|2026-08-09|0|0.6582|0.56
68|PTCRL|0x9fcfbb4a9b536e5ba8cb0abe812f7fd9abbee455|51|0.8627|9674|565|1.0|2026-08-09|0|0.8321|0.1569  [span1.0d]
73|bordyugaqq|0x2d32ebca7ccb7505992231a3e1dfd6d9cc82ae18|100|0.62|9035|1238|14.3|2026-08-09|0|0.5755|0.66
75|MoonLambo1205|0x49e94011df9060dcc367995892faeb193e348f85|68|0.7353|8486|1770|76.1|2026-08-09|0|0.8038|0.1765
76|blket|0xb5db6abf19904c4f18daa9bcd753edb99b1f5800|100|0.65|8336|787|11.0|2026-08-09|0|0.6442|0.62
78|slowwhaleslow|0x609dcec0beaa9be5c1ae1c2a2caaa084404b3fa9|100|0.67|8183|1694|10.0|2026-08-09|0|0.5959|0.73
79|gollaza|0x16b251e0f8b8315a871e7a14596a01da3b53aa5a|100|0.63|7911|2211|1.0|2026-08-09|0|0.5829|0.58  [span1.0d]
80|fortuneking|0x86c878cde72660ec52f5e6f0f0438b76de8fc867|100|0.63|7748|2445|9.9|2026-08-09|0|0.5915|0.5
81|LSB1|0x41558102a796ba971c7567cad41c307e59f8fa41|100|0.8|7629|4349|0.7|2026-08-09|0|0.6434|0.5  [span0.7d]
86|mpoly|0xaa57cd0782fb4583206ce547379e6442db61a128|90|0.8|6837|1472|4.0|2026-08-09|0|0.7635|0.3
89|Giannis34x|0xaa903818f3f2d6fb6790cc55672bb99ab734c709|81|0.679|6598|736|28.9|2026-08-09|0|0.6536|0.6914
94|Estiquelapise|0x4502bb5e2d93ce227dff6067b46ac99842ce9eed|100|0.64|5847|573|4.1|2026-08-09|0|0.6138|0.47
96|ddeeeebbbb|0x880bc1ad15f035c69fdacd4a0efd5429fa3190a8|90|0.8556|5798|1176|1.7|2026-08-09|0|0.797|0.2222
100|bosstariro|0xf2bbdd3a75a7f217125d433f832990a671823250|100|0.66|5656|1748|3.1|2026-08-09|0|0.6138|0.66
104|Ayanokoji67|0x8a524bca5c742485c1ee2056735d1825e45bd74c|69|0.7391|5388|9|62.1|2026-08-09|0|0.6488|0.3913  [lifetime~9]
106|lukibazdonauki754|0xc0f89d4e30b3ab40ab1f1979ebdcf8a02c39ae2e|58|0.931|5038|4435|1.0|2026-08-09|0|0.8484|0.1724  [span1.0d]

AUDIT SHORTLIST (14): Kosherlocks, rollobravado, hurrican, imnice, sabsabinxz, GreatestTrader, Cuco84,
  Marsache, olddirtyfighter, bordyugaqq, ppxtu, viktorurolog16(WoW) + kitten147(reconsider) + Moond(reconsider)
