asset,sfp_mode,bos_tf,entry_ts_ms,entry_utc,swept_swing_level,swept_low,bos_ref_high,bos_bar_ts_ms
BTCUSDT,REAL,3m,1783838160000,2026-07-12 06:36,63629.2,63606.2,63721.1,1783837980000
BTCUSDT,REAL,15m,1783844100000,2026-07-12 08:15,63629.2,63606.2,63975.4,1783843200000
BTCUSDT,REAL,3m,1783906920000,2026-07-13 01:42,63606.2,63538.0,63724.6,1783906740000
ETHUSDT,REAL,15m,1782677700000,2026-06-28 20:15,1561.76,1555.72,1569.58,1782676800000
ETHUSDT,REAL,3m,1782677700000,2026-06-28 20:15,1561.76,1555.72,1568.34,1782677520000
ETHUSDT,CONSIDERABLE,3m,1782689580000,2026-06-28 23:33,1561.76,1559.95,1563.58,1782689400000
ETHUSDT,CONSIDERABLE,15m,1782690300000,2026-06-28 23:45,1561.76,1559.95,1571.76,1782689400000
ETHUSDT,CONSIDERABLE,3m,1783479780000,2026-07-08 03:03,1756.62,1753.75,1758.8,1783479600000
SOLUSDT,REAL,3m,1782308160000,2026-06-24 13:36,68.34,68.32,69.18,1782307980000
SOLUSDT,REAL,3m,1782689400000,2026-06-28 23:30,70.11,69.68,70.91,1782689220000
SOLUSDT,REAL,15m,1782690300000,2026-06-28 23:45,70.11,69.68,71.07,1782689400000
SOLUSDT,CONSIDERABLE,3m,1783345680000,2026-07-06 13:48,79.64,79.32,79.51,1783345500000
SOLUSDT,CONSIDERABLE,15m,1783352700000,2026-07-06 15:45,79.64,79.32,80.77,1783351800000
SOLUSDT,REAL,3m,1783462680000,2026-07-07 22:18,80.42,80.29,80.8,1783462500000
SOLUSDT,REAL,15m,1783464300000,2026-07-07 22:45,80.42,80.29,80.85,1783463400000
SOLUSDT,REAL,15m,1783919700000,2026-07-13 05:15,75.6,75.58,76.09,1783918800000
SOLUSDT,CONSIDERABLE,3m,1783952640000,2026-07-13 14:24,75.6,75.06,75.82,1783952460000
SOLUSDT,CONSIDERABLE,15m,1783953900000,2026-07-13 14:45,75.6,75.06,75.91,1783953000000
SOLUSDT,CONSIDERABLE,3m,1784296980000,2026-07-17 14:03,74.07,73.34,73.73,1784296800000
SOLUSDT,REAL,3m,1785356280000,2026-07-29 20:18,72.68,72.39,72.99,1785356100000
XRPUSDT,REAL,3m,1783435860000,2026-07-07 14:51,1.1089,1.1075,1.1164,1783435680000
XRPUSDT,REAL,15m,1783438200000,2026-07-07 15:30,1.1089,1.1075,1.1272,1783437300000
XRPUSDT,REAL,15m,1784534400000,2026-07-20 08:00,1.0829,1.0826,1.0888,1784533500000
