asset,sfp_mode,bos_tf,entry_utc,win_open_ts,market,result,move_pct,correct,yes_price,pseudo_ev
BTCUSDT,REAL,3m,2026-07-12 06:36,1783838700,KXBTC15M-26JUL120300-00,no,-0.0002082001357144316,0,0.64,-0.66
BTCUSDT,REAL,15m,2026-07-12 08:15,1783844100,KXBTC15M-26JUL120430-30,no,-0.0007672441281452452,0,0.56,-0.58
BTCUSDT,REAL,3m,2026-07-13 01:42,1783907100,KXBTC15M-26JUL122200-00,no,-0.00427824000459907,0,0.455,-0.475
ETHUSDT,REAL,15m,2026-06-28 20:15,1782677700,KXETH15M-26JUN281630-30,yes,0.001292631364458351,1,0.525,0.455
ETHUSDT,REAL,3m,2026-06-28 20:15,1782677700,KXETH15M-26JUN281630-30,yes,0.001292631364458351,1,0.525,0.455
ETHUSDT,CONSIDERABLE,3m,2026-06-28 23:33,1782690300,KXETH15M-26JUN282000-00,no,-0.0024084900864260067,0,0.315,-0.335
ETHUSDT,CONSIDERABLE,15m,2026-06-28 23:45,1782690300,KXETH15M-26JUN282000-00,no,-0.0024084900864260067,0,0.315,-0.335
ETHUSDT,CONSIDERABLE,3m,2026-07-08 03:03,1783480500,KXETH15M-26JUL072330-30,yes,0.00040887717783887246,1,0.435,0.545
SOLUSDT,REAL,3m,2026-06-24 13:36,1782308700,KXSOL15M-26JUN241000-00,yes,0.002995634765681973,1,0.505,0.475
SOLUSDT,REAL,3m,2026-06-28 23:30,1782689400,KXSOL15M-26JUN281945-45,yes,0.0060578994304164675,1,0.62,0.36
SOLUSDT,REAL,15m,2026-06-28 23:45,1782690300,KXSOL15M-26JUN282000-00,no,-0.0017910230396419185,0,0.55,-0.57
SOLUSDT,CONSIDERABLE,3m,2026-07-06 13:48,1783346400,KXSOL15M-26JUL061015-15,no,-0.0007919364654940782,0,0.46,-0.48
SOLUSDT,CONSIDERABLE,15m,2026-07-06 15:45,1783352700,KXSOL15M-26JUL061200-00,yes,0.0020126098934241613,1,0.44,0.54
SOLUSDT,REAL,3m,2026-07-07 22:18,1783463400,KXSOL15M-26JUL071845-45,yes,0.002501943617753543,1,0.435,0.545
SOLUSDT,REAL,15m,2026-07-07 22:45,1783464300,KXSOL15M-26JUL071900-00,no,-0.0017448903608700138,0,0.285,-0.305
SOLUSDT,REAL,15m,2026-07-13 05:15,1783919700,KXSOL15M-26JUL130130-30,no,-0.00240631437874464,0,0.355,-0.375
SOLUSDT,CONSIDERABLE,3m,2026-07-13 14:24,1783953000,KXSOL15M-26JUL131045-45,yes,0.001243313727739398,1,0.455,0.525
SOLUSDT,CONSIDERABLE,15m,2026-07-13 14:45,1783953900,KXSOL15M-26JUL131100-00,yes,0.0019067685014485594,1,0.59,0.39
SOLUSDT,CONSIDERABLE,3m,2026-07-17 14:03,1784297700,KXSOL15M-26JUL171030-30,no,-0.0017834329944496487,0,0.655,-0.675
SOLUSDT,REAL,3m,2026-07-29 20:18,1785357000,KXSOL15M-26JUL291645-45,yes,0.004318524930604972,1,0.555,0.425
XRPUSDT,REAL,3m,2026-07-07 14:51,1783436400,KXXRP15M-26JUL071115-15,no,-0.003023566029346438,0,0.465,-0.485
XRPUSDT,REAL,15m,2026-07-07 15:30,1783438200,KXXRP15M-26JUL071145-45,yes,0.0005326704545453959,1,0.5,0.48
XRPUSDT,REAL,15m,2026-07-20 08:00,1784534400,KXXRP15M-26JUL200415-15,yes,0.0006427325314481177,1,0.42,0.56
