coin,tf,config,L,slMult,RR,bias,IS_from,IS_to,OOS_from,OOS_to,IS_n,IS_WR,IS_avgR,IS_sumR,IS_PF,IS_maxDD,IS_net06,IS_net04,IS_sumR_TPfirst,OOS_n,OOS_WR,OOS_avgR,OOS_sumR,OOS_PF,OOS_maxDD,OOS_net06,OOS_net04,OOS_sumR_TPfirst,OOS_insufficient,survives_OOS,relaxed_IS
BTCUSDT,3m,WF-winner,15,1.5,4.5,2,2022-07-01,2025-04-18,2025-04-18,2026-06-30,8470,0.3192443919716647,0.04772508783612157,404.23149397194965,1.080230234793753,-128.1875,-6995.594141715065,-4528.985596486062,452.04399397194965,3655,0.32366621067031465,0.04370848534109543,159.7545139217038,1.073773640890317,-55.03125,-3234.451314636175,-2103.049371783549,171.1295139217038,False,True,False
BTCUSDT,3m,Fixed-default,30,2.1,3.5,5,2022-07-01,2025-04-18,2025-04-18,2026-06-30,4791,0.3717386766854519,0.020393252004837548,97.7040703551767,1.036875983385807,-45.9375,-2876.508836802338,-1885.1045344165,105.9853203551767,2053,0.36629322942036047,0.009229354854730473,18.94786551676166,1.0167491851656885,-52.28125,-1348.3531613958953,-892.5861524250098,22.63536551676166,False,True,
BTCUSDT,15m,WF-winner,10,1.5,4.0,0,2022-07-02,2025-04-18,2025-04-18,2026-06-30,1829,0.3548387096774194,0.0711304348725433,130.09756538188168,1.1261858054140461,-40.5,-398.34580200644507,-222.19801287700284,143.59756538188168,819,0.32722832722832723,-0.037950710348202334,-31.081631775177712,0.9348504957956026,-43.0,-294.5623548863389,-206.7354471826185,-29.331631775177712,False,False,False
BTCUSDT,15m,Fixed-default,30,2.1,3.5,5,2022-07-02,2025-04-18,2025-04-18,2026-06-30,865,0.39075144508670523,0.07720542126577153,66.78268939489237,1.1457838911683305,-32.625,-124.92878080905116,-61.02495740773667,70.47018939489237,399,0.3583959899749373,-0.01699561403508772,-6.78125,0.9691629955947136,-24.40625,-102.79134251577534,-70.78797834385023,-5.84375,False,False,
BTCUSDT,1h,WF-winner,15,2.5,2.5,2,2022-07-06,2025-04-18,2025-04-18,2026-06-30,238,0.4327731092436975,0.20081194361593302,47.79324258059206,1.486349890450612,-9.0625,30.05672550510372,35.96889786359982,48.51199258059206,128,0.375,0.022705078125,2.90625,1.0452554744525548,-12.25,-7.992101982286041,-4.359317988190695,2.90625,False,True,False
BTCUSDT,1h,Fixed-default,30,2.1,3.5,5,2022-07-06,2025-04-18,2025-04-18,2026-06-30,211,0.38388625592417064,0.09375,19.78125,1.1713125845737482,-23.65625,1.459703238659701,7.566885492439798,20.25,112,0.3392857142857143,-0.03515625,-3.9375,0.9416126042632067,-16.46875,-16.109041623589626,-12.051861082393083,-3.9375,False,False,
BTCUSDT,4h,WF-winner,20,1.5,2.5,2,2022-07-21,2025-04-18,2025-04-18,2026-06-30,94,0.4787234042553192,0.3178348368176822,29.87647466086213,1.8559061675448416,-3.59375,24.507628291618367,26.297243748032948,32.03272466086213,43,0.32558139534883723,-0.04505813953488372,-1.9375,0.9186351706036745,-8.375,-4.979894207458396,-3.9657628049722655,-1.9375,False,False,False
BTCUSDT,4h,Fixed-default,30,2.1,3.5,5,2022-07-21,2025-04-18,2025-04-18,2026-06-30,43,0.4418604651162791,0.023524834570354404,1.0115678865252393,1.0483403979827433,-6.375,-0.6254242729959063,-0.07976021982219217,1.0115678865252393,21,0.47619047619047616,0.3528862718262278,7.410611708350784,1.812121831052141,-3.53125,6.340260449293883,6.69704420231285,7.410611708350784,True,False,
BTCUSDT,1d,WF-winner,10,1.0,2.0,0,2022-10-29,2025-04-17,2025-04-18,2026-06-30,30,0.5666666666666667,0.4041666666666667,12.125,2.328767123287671,-2.625,11.16032353632082,11.481882357547216,12.125,15,0.6666666666666666,0.5,7.5,2.764705882352941,-2.625,6.855133718054922,7.0700891453699475,7.5,True,False,False
BTCUSDT,1d,Fixed-default,30,2.1,3.5,5,2022-10-29,2025-04-17,2025-04-18,2026-06-30,11,0.2727272727272727,-0.23011363636363635,-2.53125,0.6415929203539823,-3.71875,-2.718477997198357,-2.6560686647989042,-2.53125,4,0.75,1.3443954578285187,5.377581831314075,11.122506976591199,-0.53125,5.310995298716545,5.333190809582387,5.377581831314075,True,False,
