coin,tf,window,IS_from,IS_to,OOS_from,OOS_to,L,slMult,RR,bias,IS_relaxed,IS_n,OOS_n,OOS_gross,OOS_net06,OOS_net04
ETHUSDT,4h,0,2022-07-21,2024-02-17,2024-02-17,2024-08-08,30,1.0,4.5,0,False,36,13,-0.25,-1.09,-0.81
ETHUSDT,4h,1,2023-01-09,2024-08-08,2024-08-08,2025-01-27,30,1.5,4.5,0,False,35,11,6.34,5.86,6.02
ETHUSDT,4h,2,2023-07-01,2025-01-27,2025-01-28,2025-07-19,30,1.0,4.5,4,False,38,13,1.41,0.59,0.86
ETHUSDT,4h,3,2023-12-21,2025-07-19,2025-07-19,2026-01-08,15,1.0,4.5,10,False,50,12,0.75,-0.02,0.24
ETHUSDT,4h,4,2024-06-11,2026-01-08,2026-01-08,2026-06-30,30,1.0,4.0,4,False,40,15,-5.75,-6.78,-6.44
XRPUSDT,1h,0,2022-07-06,2024-02-08,2024-02-08,2024-08-01,35,1.0,4.0,4,False,160,44,15.0,8.3,10.54
XRPUSDT,1h,1,2022-12-27,2024-08-01,2024-08-01,2025-01-22,20,1.5,4.0,2,False,201,63,-3.56,-8.88,-7.1
XRPUSDT,1h,2,2023-06-20,2025-01-22,2025-01-22,2025-07-16,20,1.5,4.0,2,False,190,54,4.25,0.4,1.68
XRPUSDT,1h,3,2023-12-12,2025-07-16,2025-07-16,2026-01-07,35,1.0,4.0,4,False,149,51,11.25,4.21,6.56
XRPUSDT,1h,4,2024-06-03,2026-01-07,2026-01-07,2026-06-30,30,2.0,4.5,0,False,121,47,-4.38,-7.67,-6.57
SOLUSDT,1h,0,2022-07-06,2024-02-08,2024-02-08,2024-08-01,20,1.0,4.5,4,False,216,64,9.53,3.56,5.55
SOLUSDT,1h,1,2022-12-27,2024-08-01,2024-08-01,2025-01-22,20,1.0,4.5,4,False,213,68,0.17,-7.03,-4.63
SOLUSDT,1h,2,2023-06-20,2025-01-22,2025-01-22,2025-07-16,15,1.0,4.0,2,False,284,99,12.5,2.83,6.05
SOLUSDT,1h,3,2023-12-12,2025-07-16,2025-07-16,2026-01-07,15,1.0,3.0,2,False,310,102,3.12,-8.16,-4.4
SOLUSDT,1h,4,2024-06-03,2026-01-07,2026-01-07,2026-06-30,15,1.0,3.0,2,False,327,99,11.9,-0.94,3.34
XRPUSDT,4h,0,2022-07-21,2024-02-17,2024-02-17,2024-08-08,10,1.0,3.0,2,False,103,29,6.08,4.49,5.02
XRPUSDT,4h,1,2023-01-09,2024-08-08,2024-08-08,2025-01-27,10,1.0,3.0,2,False,93,28,8.81,7.03,7.62
XRPUSDT,4h,2,2023-07-01,2025-01-27,2025-01-28,2025-07-19,10,1.5,4.5,2,False,50,13,6.56,6.21,6.33
XRPUSDT,4h,3,2023-12-21,2025-07-19,2025-07-19,2026-01-08,10,1.0,3.5,2,False,91,39,2.55,0.07,0.9
XRPUSDT,4h,4,2024-06-11,2026-01-08,2026-01-08,2026-06-30,10,1.0,3.5,2,False,102,31,-5.19,-7.45,-6.69
