coin,tf,preset,mode,macd,RR,window,n,gross,net06,net04
BTCUSDT,15m,Normal,continuation,0,1.5,0,431,23.69,-52.26,-26.94
BTCUSDT,15m,Normal,continuation,0,1.5,1,424,-21.88,-113.57,-83.0
BTCUSDT,15m,Normal,continuation,0,1.5,2,439,20.22,-46.77,-24.44
BTCUSDT,15m,Normal,continuation,0,1.5,3,439,-8.22,-85.54,-59.77
BTCUSDT,15m,Normal,continuation,0,1.5,4,442,0.34,-77.24,-51.38
BTCUSDT,15m,Normal,continuation,0,2.5,0,322,9.38,-41.84,-24.77
BTCUSDT,15m,Normal,continuation,0,2.5,1,340,-16.09,-83.14,-60.79
BTCUSDT,15m,Normal,continuation,0,2.5,2,335,14.09,-35.49,-18.96
BTCUSDT,15m,Normal,continuation,0,2.5,3,343,3.78,-55.57,-35.79
BTCUSDT,15m,Normal,continuation,0,2.5,4,348,-8.44,-68.94,-48.77
BTCUSDT,15m,Normal,continuation,0,3.5,0,248,8.44,-30.98,-17.84
BTCUSDT,15m,Normal,continuation,0,3.5,1,285,-11.38,-66.31,-48.0
BTCUSDT,15m,Normal,continuation,0,3.5,2,269,10.72,-26.94,-14.39
BTCUSDT,15m,Normal,continuation,0,3.5,3,276,-15.69,-63.95,-47.86
BTCUSDT,15m,Normal,continuation,0,3.5,4,290,-0.32,-49.32,-32.98
BTCUSDT,15m,Normal,continuation,1,1.5,0,358,-9.09,-74.17,-52.48
BTCUSDT,15m,Normal,continuation,1,1.5,1,369,-27.12,-108.98,-81.7
BTCUSDT,15m,Normal,continuation,1,1.5,2,359,27.91,-29.08,-10.08
BTCUSDT,15m,Normal,continuation,1,1.5,3,352,2.94,-59.7,-38.82
BTCUSDT,15m,Normal,continuation,1,1.5,4,360,-12.59,-74.05,-53.57
BTCUSDT,15m,Normal,continuation,1,2.5,0,290,-3.69,-54.41,-37.5
BTCUSDT,15m,Normal,continuation,1,2.5,1,304,-27.59,-95.65,-72.96
BTCUSDT,15m,Normal,continuation,1,2.5,2,276,25.88,-15.56,-1.75
BTCUSDT,15m,Normal,continuation,1,2.5,3,296,-7.56,-60.83,-43.08
BTCUSDT,15m,Normal,continuation,1,2.5,4,305,-25.38,-77.37,-60.04
BTCUSDT,15m,Normal,continuation,1,3.5,0,234,0.47,-41.05,-27.21
BTCUSDT,15m,Normal,continuation,1,3.5,1,263,-35.88,-91.82,-73.17
BTCUSDT,15m,Normal,continuation,1,3.5,2,235,25.44,-9.7,2.02
BTCUSDT,15m,Normal,continuation,1,3.5,3,249,-10.94,-53.84,-39.54
BTCUSDT,15m,Normal,continuation,1,3.5,4,267,-26.16,-70.42,-55.66
BTCUSDT,15m,Normal,reversal,0,1.5,0,218,6.94,-30.73,-18.17
BTCUSDT,15m,Normal,reversal,0,1.5,1,231,-23.12,-81.44,-62.0
BTCUSDT,15m,Normal,reversal,0,1.5,2,206,16.38,-15.33,-4.76
BTCUSDT,15m,Normal,reversal,0,1.5,3,227,3.22,-40.2,-25.73
BTCUSDT,15m,Normal,reversal,0,1.5,4,212,-7.81,-42.91,-31.21
BTCUSDT,15m,Normal,reversal,0,2.5,0,201,-8.66,-43.86,-32.12
BTCUSDT,15m,Normal,reversal,0,2.5,1,222,-22.41,-77.76,-59.31
BTCUSDT,15m,Normal,reversal,0,2.5,2,183,10.88,-17.22,-7.85
BTCUSDT,15m,Normal,reversal,0,2.5,3,220,1.94,-39.63,-25.77
BTCUSDT,15m,Normal,reversal,0,2.5,4,195,-14.22,-45.89,-35.33
BTCUSDT,15m,Normal,reversal,0,3.5,0,181,-4.41,-35.57,-25.19
BTCUSDT,15m,Normal,reversal,0,3.5,1,188,-17.16,-64.25,-48.55
BTCUSDT,15m,Normal,reversal,0,3.5,2,170,12.59,-12.71,-4.28
BTCUSDT,15m,Normal,reversal,0,3.5,3,200,2.94,-34.86,-22.26
BTCUSDT,15m,Normal,reversal,0,3.5,4,187,-18.54,-49.16,-38.95
BTCUSDT,15m,Normal,reversal,1,1.5,0,128,7.91,-16.14,-8.12
BTCUSDT,15m,Normal,reversal,1,1.5,1,144,-7.47,-44.82,-32.37
BTCUSDT,15m,Normal,reversal,1,1.5,2,124,13.47,-6.1,0.42
BTCUSDT,15m,Normal,reversal,1,1.5,3,127,1.59,-23.33,-15.02
BTCUSDT,15m,Normal,reversal,1,1.5,4,136,-3.28,-26.5,-18.76
BTCUSDT,15m,Normal,reversal,1,2.5,0,126,1.19,-22.7,-14.73
BTCUSDT,15m,Normal,reversal,1,2.5,1,142,-4.5,-40.85,-28.73
BTCUSDT,15m,Normal,reversal,1,2.5,2,114,13.62,-4.13,1.79
BTCUSDT,15m,Normal,reversal,1,2.5,3,122,4.09,-19.49,-11.63
BTCUSDT,15m,Normal,reversal,1,2.5,4,132,1.44,-20.69,-13.31
BTCUSDT,15m,Normal,reversal,1,3.5,0,123,-6.06,-29.37,-21.6
BTCUSDT,15m,Normal,reversal,1,3.5,1,131,-2.25,-35.66,-24.52
BTCUSDT,15m,Normal,reversal,1,3.5,2,107,13.5,-2.42,2.89
BTCUSDT,15m,Normal,reversal,1,3.5,3,112,15.03,-6.9,0.41
BTCUSDT,15m,Normal,reversal,1,3.5,4,127,1.84,-19.28,-12.24
BTCUSDT,15m,VeryHigh,continuation,0,1.5,0,352,21.59,-42.04,-20.83
BTCUSDT,15m,VeryHigh,continuation,0,1.5,1,353,-23.91,-98.63,-73.72
BTCUSDT,15m,VeryHigh,continuation,0,1.5,2,343,28.97,-22.24,-5.17
BTCUSDT,15m,VeryHigh,continuation,0,1.5,3,336,26.03,-33.3,-13.52
BTCUSDT,15m,VeryHigh,continuation,0,1.5,4,334,17.62,-38.52,-19.8
BTCUSDT,15m,VeryHigh,continuation,0,2.5,0,273,13.03,-30.43,-15.94
BTCUSDT,15m,VeryHigh,continuation,0,2.5,1,291,-14.69,-75.59,-55.29
BTCUSDT,15m,VeryHigh,continuation,0,2.5,2,267,24.38,-13.78,-1.06
BTCUSDT,15m,VeryHigh,continuation,0,2.5,3,272,45.47,-2.31,13.61
BTCUSDT,15m,VeryHigh,continuation,0,2.5,4,277,3.41,-42.25,-27.03
BTCUSDT,15m,VeryHigh,continuation,0,3.5,0,205,24.25,-7.92,2.8
BTCUSDT,15m,VeryHigh,continuation,0,3.5,1,233,-22.28,-69.53,-53.78
BTCUSDT,15m,VeryHigh,continuation,0,3.5,2,212,20.31,-9.22,0.62
BTCUSDT,15m,VeryHigh,continuation,0,3.5,3,229,23.22,-16.45,-3.22
BTCUSDT,15m,VeryHigh,continuation,0,3.5,4,240,12.34,-25.69,-13.01
BTCUSDT,15m,VeryHigh,continuation,1,1.5,0,286,20.75,-35.9,-17.01
BTCUSDT,15m,VeryHigh,continuation,1,1.5,1,314,2.09,-69.23,-45.46
BTCUSDT,15m,VeryHigh,continuation,1,1.5,2,270,29.66,-11.79,2.03
BTCUSDT,15m,VeryHigh,continuation,1,1.5,3,297,14.53,-40.8,-22.36
BTCUSDT,15m,VeryHigh,continuation,1,1.5,4,298,10.5,-44.37,-26.08
BTCUSDT,15m,VeryHigh,continuation,1,2.5,0,248,13.56,-33.96,-18.12
BTCUSDT,15m,VeryHigh,continuation,1,2.5,1,276,-0.25,-62.76,-41.93
BTCUSDT,15m,VeryHigh,continuation,1,2.5,2,235,24.78,-10.67,1.15
BTCUSDT,15m,VeryHigh,continuation,1,2.5,3,260,17.78,-30.77,-14.59
BTCUSDT,15m,VeryHigh,continuation,1,2.5,4,259,-2.56,-50.0,-34.19
BTCUSDT,15m,VeryHigh,continuation,1,3.5,0,206,7.31,-32.29,-19.09
BTCUSDT,15m,VeryHigh,continuation,1,3.5,1,253,-4.62,-59.77,-41.39
BTCUSDT,15m,VeryHigh,continuation,1,3.5,2,201,35.66,5.66,15.66
BTCUSDT,15m,VeryHigh,continuation,1,3.5,3,228,4.38,-38.46,-24.18
BTCUSDT,15m,VeryHigh,continuation,1,3.5,4,239,6.25,-35.74,-21.75
BTCUSDT,15m,VeryHigh,reversal,0,1.5,0,128,2.94,-17.5,-10.69
BTCUSDT,15m,VeryHigh,reversal,0,1.5,1,132,-14.28,-41.55,-32.46
BTCUSDT,15m,VeryHigh,reversal,0,1.5,2,115,0.94,-14.71,-9.5
BTCUSDT,15m,VeryHigh,reversal,0,1.5,3,147,-12.31,-37.66,-29.21
BTCUSDT,15m,VeryHigh,reversal,0,1.5,4,132,-0.06,-23.95,-15.98
BTCUSDT,15m,VeryHigh,reversal,0,2.5,0,121,-2.66,-21.43,-15.17
BTCUSDT,15m,VeryHigh,reversal,0,2.5,1,125,-28.69,-54.2,-45.7
BTCUSDT,15m,VeryHigh,reversal,0,2.5,2,114,-0.59,-15.94,-10.83
BTCUSDT,15m,VeryHigh,reversal,0,2.5,3,146,-19.16,-44.37,-35.96
BTCUSDT,15m,VeryHigh,reversal,0,2.5,4,130,1.66,-21.93,-14.07
BTCUSDT,15m,VeryHigh,reversal,0,3.5,0,118,-9.44,-27.76,-21.65
BTCUSDT,15m,VeryHigh,reversal,0,3.5,1,123,-35.66,-60.67,-52.34
BTCUSDT,15m,VeryHigh,reversal,0,3.5,2,113,-0.88,-16.07,-11.0
BTCUSDT,15m,VeryHigh,reversal,0,3.5,3,146,-15.38,-40.59,-32.18
BTCUSDT,15m,VeryHigh,reversal,0,3.5,4,130,6.0,-17.58,-9.72
BTCUSDT,15m,VeryHigh,reversal,1,1.5,0,42,-1.28,-7.98,-5.75
BTCUSDT,15m,VeryHigh,reversal,1,1.5,1,48,-2.09,-13.35,-9.6
BTCUSDT,15m,VeryHigh,reversal,1,1.5,2,44,-5.06,-10.98,-9.01
BTCUSDT,15m,VeryHigh,reversal,1,1.5,3,62,-2.03,-12.93,-9.3
BTCUSDT,15m,VeryHigh,reversal,1,1.5,4,54,10.44,0.28,3.67
BTCUSDT,15m,VeryHigh,reversal,1,2.5,0,41,-4.94,-11.52,-9.33
BTCUSDT,15m,VeryHigh,reversal,1,2.5,1,48,-1.88,-13.13,-9.38
BTCUSDT,15m,VeryHigh,reversal,1,2.5,2,44,-6.34,-12.27,-10.29
BTCUSDT,15m,VeryHigh,reversal,1,2.5,3,62,-1.19,-12.09,-8.46
BTCUSDT,15m,VeryHigh,reversal,1,2.5,4,54,11.16,1.0,4.39
BTCUSDT,15m,VeryHigh,reversal,1,3.5,0,41,-4.59,-11.18,-8.98
BTCUSDT,15m,VeryHigh,reversal,1,3.5,1,47,3.94,-7.11,-3.43
BTCUSDT,15m,VeryHigh,reversal,1,3.5,2,44,-5.56,-11.49,-9.51
BTCUSDT,15m,VeryHigh,reversal,1,3.5,3,62,2.19,-8.72,-5.08
BTCUSDT,15m,VeryHigh,reversal,1,3.5,4,54,15.22,5.06,8.45
BTCUSDT,1h,Normal,continuation,0,1.5,0,100,8.16,0.43,3.0
BTCUSDT,1h,Normal,continuation,0,1.5,1,119,-11.97,-22.75,-19.16
BTCUSDT,1h,Normal,continuation,0,1.5,2,111,19.94,12.52,14.99
BTCUSDT,1h,Normal,continuation,0,1.5,3,107,-13.69,-22.48,-19.55
BTCUSDT,1h,Normal,continuation,0,1.5,4,120,5.63,-3.92,-0.74
BTCUSDT,1h,Normal,continuation,0,2.5,0,75,12.75,7.03,8.94
BTCUSDT,1h,Normal,continuation,0,2.5,1,81,-4.69,-11.53,-9.25
BTCUSDT,1h,Normal,continuation,0,2.5,2,83,16.72,10.98,12.89
BTCUSDT,1h,Normal,continuation,0,2.5,3,87,-10.47,-17.42,-15.1
BTCUSDT,1h,Normal,continuation,0,2.5,4,91,6.31,-0.84,1.54
BTCUSDT,1h,Normal,continuation,0,3.5,0,51,13.19,9.18,10.51
BTCUSDT,1h,Normal,continuation,0,3.5,1,69,-6.31,-11.93,-10.06
BTCUSDT,1h,Normal,continuation,0,3.5,2,69,18.03,13.25,14.84
BTCUSDT,1h,Normal,continuation,0,3.5,3,58,-3.0,-7.52,-6.01
BTCUSDT,1h,Normal,continuation,0,3.5,4,69,4.78,-0.46,1.28
BTCUSDT,1h,Normal,continuation,1,1.5,0,85,16.97,10.0,12.32
BTCUSDT,1h,Normal,continuation,1,1.5,1,101,-4.19,-13.95,-10.7
BTCUSDT,1h,Normal,continuation,1,1.5,2,89,7.88,1.38,3.55
BTCUSDT,1h,Normal,continuation,1,1.5,3,98,-11.0,-19.45,-16.64
BTCUSDT,1h,Normal,continuation,1,1.5,4,99,2.66,-4.91,-2.39
BTCUSDT,1h,Normal,continuation,1,2.5,0,63,16.09,11.52,13.04
BTCUSDT,1h,Normal,continuation,1,2.5,1,69,-2.0,-7.91,-5.94
BTCUSDT,1h,Normal,continuation,1,2.5,2,68,11.03,5.89,7.6
BTCUSDT,1h,Normal,continuation,1,2.5,3,82,-6.03,-12.98,-10.66
BTCUSDT,1h,Normal,continuation,1,2.5,4,77,2.08,-3.71,-1.78
BTCUSDT,1h,Normal,continuation,1,3.5,0,53,18.28,14.3,15.63
BTCUSDT,1h,Normal,continuation,1,3.5,1,54,2.69,-1.95,-0.4
BTCUSDT,1h,Normal,continuation,1,3.5,2,60,7.0,2.55,4.04
BTCUSDT,1h,Normal,continuation,1,3.5,3,51,2.69,-1.58,-0.16
BTCUSDT,1h,Normal,continuation,1,3.5,4,67,-2.9,-7.79,-6.16
BTCUSDT,1h,Normal,reversal,0,1.5,0,56,6.03,1.45,2.97
BTCUSDT,1h,Normal,reversal,0,1.5,1,53,5.19,0.36,1.97
BTCUSDT,1h,Normal,reversal,0,1.5,2,48,11.19,8.13,9.15
BTCUSDT,1h,Normal,reversal,0,1.5,3,61,4.75,-0.41,1.31
BTCUSDT,1h,Normal,reversal,0,1.5,4,64,-1.25,-6.23,-4.57
BTCUSDT,1h,Normal,reversal,0,2.5,0,48,6.62,2.97,4.19
BTCUSDT,1h,Normal,reversal,0,2.5,1,46,4.72,0.55,1.94
BTCUSDT,1h,Normal,reversal,0,2.5,2,41,3.72,1.14,2.0
BTCUSDT,1h,Normal,reversal,0,2.5,3,58,7.69,2.86,4.47
BTCUSDT,1h,Normal,reversal,0,2.5,4,62,-1.28,-6.12,-4.51
BTCUSDT,1h,Normal,reversal,0,3.5,0,29,10.03,8.15,8.78
BTCUSDT,1h,Normal,reversal,0,3.5,1,43,1.62,-2.17,-0.91
BTCUSDT,1h,Normal,reversal,0,3.5,2,40,-1.31,-3.82,-2.98
BTCUSDT,1h,Normal,reversal,0,3.5,3,48,5.5,1.54,2.86
BTCUSDT,1h,Normal,reversal,0,3.5,4,56,-5.06,-9.47,-8.0
BTCUSDT,1h,Normal,reversal,1,1.5,0,29,-0.47,-3.06,-2.19
