venue,signal_set,window,side,n,gross,net06
Binance,vendor,0,L,39,4.72,2.51
Binance,vendor,0,S,33,-5.94,-7.49
Binance,vendor,1,L,35,-8.44,-11.08
Binance,vendor,1,S,38,-3.22,-5.99
Binance,vendor,2,L,36,7.66,5.66
Binance,vendor,2,S,32,1.81,0.02
Binance,vendor,3,L,23,1.53,0.49
Binance,vendor,3,S,26,5.34,4.34
Binance,vendor,4,L,35,6.56,4.65
Binance,vendor,4,S,38,18.39,16.4
Binance,emission,0,L,41,2.03,-0.27
Binance,emission,0,S,34,-6.0,-7.59
Binance,emission,1,L,39,-6.06,-9.02
Binance,emission,1,S,40,-2.5,-5.43
Binance,emission,2,L,37,11.47,9.47
Binance,emission,2,S,34,6.66,4.81
Binance,emission,3,L,25,3.88,2.73
Binance,emission,3,S,27,4.34,3.32
Binance,emission,4,L,36,7.19,5.17
Binance,emission,4,S,39,22.82,20.91
Bybit,vendor,0,L,21,10.28,9.11
Bybit,vendor,0,S,22,2.91,1.56
Bybit,vendor,1,L,21,-0.59,-1.8
Bybit,vendor,1,S,18,0.78,-0.17
Bybit,vendor,2,L,15,-1.91,-2.53
Bybit,vendor,2,S,19,5.22,4.5
Bybit,vendor,3,L,22,-1.44,-2.54
Bybit,vendor,3,S,18,4.66,3.76
Bybit,vendor,4,L,17,5.38,4.42
Bybit,vendor,4,S,23,12.54,11.36
Bybit,emission,0,L,22,9.28,8.03
Bybit,emission,0,S,24,4.09,2.67
Bybit,emission,1,L,22,3.22,2.01
Bybit,emission,1,S,17,4.97,4.13
Bybit,emission,2,L,16,0.28,-0.39
Bybit,emission,2,S,20,4.22,3.47
Bybit,emission,3,L,23,-2.44,-3.62
Bybit,emission,3,S,19,6.84,5.93
Bybit,emission,4,L,17,7.0,6.01
Bybit,emission,4,S,22,15.79,14.75
