coin,venue,window,n,gross,net06,net04
BTC,Binance,0,51,13.19,9.18,10.51
BTC,Binance,1,69,-6.31,-11.93,-10.06
BTC,Binance,2,69,18.03,13.25,14.84
BTC,Binance,3,58,-3.0,-7.52,-6.01
BTC,Binance,4,69,4.78,-0.46,1.28
BTC,Bybit,0,26,14.19,12.39,12.99
BTC,Bybit,1,16,-2.5,-3.28,-3.02
BTC,Bybit,2,35,0.41,-2.89,-1.79
BTC,Bybit,3,31,6.94,4.65,5.42
BTC,Bybit,4,31,-2.19,-4.31,-3.6
ETH,Binance,0,75,-3.97,-7.86,-6.56
ETH,Binance,1,79,-8.56,-14.45,-12.48
ETH,Binance,2,71,18.12,14.29,15.57
ETH,Binance,3,52,8.22,6.05,6.77
ETH,Binance,4,75,30.01,26.07,27.39
ETH,Bybit,0,46,13.38,10.69,11.59
ETH,Bybit,1,39,8.19,6.14,6.82
ETH,Bybit,2,36,4.5,3.08,3.56
ETH,Bybit,3,42,4.41,2.31,3.01
ETH,Bybit,4,39,22.79,20.76,21.43
SOL,Binance,0,60,-5.06,-7.17,-6.47
SOL,Binance,1,59,7.03,5.21,5.81
SOL,Binance,2,71,-3.66,-6.4,-5.48
SOL,Binance,3,73,-1.91,-4.52,-3.65
SOL,Binance,4,72,-1.27,-4.4,-3.35
SOL,Bybit,0,46,-0.69,-2.31,-1.77
SOL,Bybit,1,44,-1.62,-3.39,-2.8
SOL,Bybit,2,41,-3.94,-5.28,-4.83
SOL,Bybit,3,45,-2.25,-3.97,-3.4
SOL,Bybit,4,45,3.24,1.17,1.86
XRP,Binance,0,80,-10.94,-14.48,-13.3
XRP,Binance,1,59,-5.69,-8.76,-7.74
XRP,Binance,2,59,14.12,11.18,12.16
XRP,Binance,3,61,4.41,2.11,2.88
XRP,Binance,4,71,2.99,-0.9,0.4
XRP,Bybit,0,39,5.12,2.92,3.65
XRP,Bybit,1,41,4.06,2.13,2.77
XRP,Bybit,2,35,-4.16,-5.32,-4.93
XRP,Bybit,3,41,4.53,2.5,3.17
XRP,Bybit,4,47,2.24,-0.34,0.52
