coin,side,entry_ts,exit_ts,R,day
BTCUSDT,short,1659657780000,1659661560000,-1.0,1659657600000
BTCUSDT,short,1660930020000,1660946040000,3.0,1660867200000
BTCUSDT,short,1661050980000,1661069340000,-1.0,1661040000000
BTCUSDT,long,1661821020000,1661868540000,-1.0,1661817600000
BTCUSDT,long,1662771780000,1662787260000,3.0,1662768000000
BTCUSDT,short,1663369380000,1663372620000,-1.0,1663286400000
BTCUSDT,long,1664423100000,1664454780000,-1.0,1664409600000
BTCUSDT,short,1664471160000,1664497800000,-1.0,1664409600000
BTCUSDT,long,1664906580000,1664975520000,-1.0,1664841600000
BTCUSDT,short,1665147780000,1665752580000,-0.463128,1665100800000
BTCUSDT,long,1666880100000,1666901880000,-1.0,1666828800000
BTCUSDT,short,1667164860000,1667182860000,3.0,1667088000000
BTCUSDT,long,1667660760000,1667699820000,-1.0,1667606400000
BTCUSDT,short,1670851260000,1670854680000,-1.0,1670803200000
BTCUSDT,long,1671548580000,1671719400000,-1.0,1671494400000
BTCUSDT,short,1671761160000,1671764040000,-1.0,1671753600000
BTCUSDT,long,1673967780000,1673970120000,-1.0,1673913600000
BTCUSDT,long,1674202140000,1674233100000,3.0,1674172800000
BTCUSDT,long,1674741960000,1674783360000,-1.0,1674691200000
BTCUSDT,long,1674901980000,1674955080000,3.0,1674864000000
BTCUSDT,long,1675283400000,1675661220000,-1.0,1675209600000
BTCUSDT,short,1676279340000,1676379240000,-1.0,1676246400000
BTCUSDT,long,1676914560000,1676970540000,-1.0,1676851200000
BTCUSDT,long,1677489480000,1677504600000,3.0,1677456000000
BTCUSDT,short,1677855780000,1677979080000,-1.0,1677801600000
BTCUSDT,long,1679003100000,1679048460000,3.0,1678924800000
BTCUSDT,long,1679155740000,1679157000000,-1.0,1679097600000
BTCUSDT,short,1683016740000,1683031140000,-1.0,1682985600000
BTCUSDT,long,1685347380000,1685357280000,-1.0,1685318400000
BTCUSDT,long,1685468340000,1685508300000,-1.0,1685404800000
BTCUSDT,short,1685541780000,1685576520000,-1.0,1685491200000
BTCUSDT,long,1686281760000,1686370680000,-1.0,1686268800000
BTCUSDT,long,1686538980000,1686659400000,3.0,1686528000000
BTCUSDT,short,1686831300000,1686835260000,-1.0,1686787200000
BTCUSDT,long,1687529880000,1687533660000,3.0,1687478400000
BTCUSDT,long,1687923900000,1687937220000,-1.0,1687910400000
BTCUSDT,long,1688455080000,1688489460000,-1.0,1688428800000
BTCUSDT,long,1688492880000,1688497920000,-1.0,1688428800000
BTCUSDT,short,1688734980000,1688738400000,-1.0,1688688000000
BTCUSDT,short,1688749740000,1689014340000,-1.0,1688688000000
BTCUSDT,long,1690618320000,1690620660000,-1.0,1690588800000
BTCUSDT,short,1694481300000,1694487780000,-1.0,1694476800000
BTCUSDT,long,1694863440000,1694912940000,-1.0,1694822400000
BTCUSDT,long,1695193380000,1695237480000,-1.0,1695168000000
BTCUSDT,long,1696637340000,1696638240000,-1.0,1696636800000
BTCUSDT,short,1696928580000,1696963680000,3.0,1696896000000
BTCUSDT,long,1698278940000,1698317100000,-1.0,1698278400000
BTCUSDT,long,1698413400000,1698417000000,-1.0,1698364800000
BTCUSDT,long,1698843780000,1698850080000,-1.0,1698796800000
BTCUSDT,long,1699705080000,1699740540000,-1.0,1699660800000
BTCUSDT,short,1700190540000,1700240580000,-1.0,1700179200000
BTCUSDT,long,1700555040000,1700565840000,-1.0,1700524800000
BTCUSDT,long,1701576180000,1701641880000,3.0,1701561600000
BTCUSDT,long,1701692460000,1701703980000,-1.0,1701648000000
BTCUSDT,long,1701900180000,1701939420000,-1.0,1701820800000
BTCUSDT,short,1702368360000,1702401660000,3.0,1702339200000
BTCUSDT,short,1703808180000,1703811600000,3.0,1703808000000
BTCUSDT,short,1705626360000,1705635000000,3.0,1705622400000
BTCUSDT,short,1706084280000,1706092740000,-1.0,1706054400000
BTCUSDT,short,1706749380000,1706799780000,-1.0,1706745600000
BTCUSDT,long,1707886980000,1707900840000,3.0,1707868800000
BTCUSDT,long,1708355160000,1708361460000,-1.0,1708300800000
BTCUSDT,long,1708491780000,1708495560000,-1.0,1708473600000
BTCUSDT,long,1709776980000,1709911620000,3.0,1709769600000
BTCUSDT,short,1710518580000,1710527940000,-1.0,1710460800000
BTCUSDT,short,1710772380000,1710889560000,3.0,1710720000000
BTCUSDT,short,1711198980000,1711204200000,-1.0,1711152000000
BTCUSDT,short,1712113560000,1712116080000,-1.0,1712102400000
BTCUSDT,long,1712372760000,1712442240000,3.0,1712361600000
BTCUSDT,short,1713229380000,1713231000000,-1.0,1713225600000
BTCUSDT,short,1713232980000,1713303180000,-1.0,1713225600000
BTCUSDT,long,1713794580000,1713968640000,-1.0,1713744000000
BTCUSDT,short,1714396680000,1714400820000,-1.0,1714348800000
BTCUSDT,short,1715228820000,1715252580000,3.0,1715212800000
BTCUSDT,long,1715828580000,1715839200000,-1.0,1715817600000
BTCUSDT,short,1716501780000,1716566400000,-1.0,1716422400000
BTCUSDT,long,1717139520000,1717141500000,-1.0,1717113600000
BTCUSDT,long,1717498980000,1717509960000,3.0,1717459200000
BTCUSDT,long,1717765380000,1717780500000,-1.0,1717718400000
BTCUSDT,short,1718334360000,1718343360000,-1.0,1718323200000
