venue,coin,window,n,gross,net06,net04
Binance,SOL,0,30,14.0,13.32,13.54
Binance,SOL,1,28,4.0,3.19,3.46
Binance,SOL,2,45,19.0,17.63,18.09
Binance,SOL,3,53,7.0,5.3,5.87
Binance,SOL,4,53,-9.0,-11.06,-10.37
Binance,BTC,0,41,15.0,12.6,13.4
Binance,BTC,1,44,-4.0,-6.63,-5.76
Binance,BTC,2,34,30.0,28.12,28.74
Binance,BTC,3,59,1.0,-2.86,-1.57
Binance,BTC,4,42,14.0,10.98,11.99
Binance,ETH,0,49,3.0,0.97,1.65
Binance,ETH,1,53,7.0,3.47,4.65
Binance,ETH,2,48,4.0,1.77,2.51
Binance,ETH,3,56,-4.0,-6.02,-5.35
Binance,ETH,4,44,-15.12,-16.94,-16.33
Binance,XRP,0,36,0.0,-1.22,-0.81
Binance,XRP,1,44,-4.0,-6.12,-5.42
Binance,XRP,2,29,-1.0,-2.15,-1.77
Binance,XRP,3,33,23.0,22.04,22.36
Binance,XRP,4,48,12.0,9.7,10.46
Bybit,SOL,0,31,-3.0,-3.87,-3.58
Bybit,SOL,1,31,5.0,4.07,4.38
Bybit,SOL,2,36,4.0,2.85,3.23
Bybit,SOL,3,30,6.0,5.05,5.37
Bybit,SOL,4,35,-11.0,-12.55,-12.03
Bybit,BTC,0,24,8.0,6.69,7.12
Bybit,BTC,1,31,13.0,11.18,11.79
Bybit,BTC,2,28,0.0,-2.21,-1.47
Bybit,BTC,3,17,11.0,9.78,10.19
Bybit,BTC,4,23,1.95,0.38,0.9
Bybit,ETH,0,28,8.0,6.68,7.12
Bybit,ETH,1,35,1.0,-0.58,-0.06
Bybit,ETH,2,39,5.0,3.65,4.1
Bybit,ETH,3,25,-9.0,-9.88,-9.59
Bybit,ETH,4,25,-13.0,-14.1,-13.73
Bybit,XRP,0,20,-4.0,-4.81,-4.54
Bybit,XRP,1,21,7.0,6.28,6.52
Bybit,XRP,2,18,18.0,17.45,17.64
Bybit,XRP,3,19,9.0,8.34,8.56
Bybit,XRP,4,37,11.0,9.07,9.71
