coin,role,window,n,gross,net06,net04
SOL,SELECTION,0,30,14.0,13.32,13.54
SOL,SELECTION,1,28,4.0,3.19,3.46
SOL,SELECTION,2,45,19.0,17.63,18.09
SOL,SELECTION,3,53,7.0,5.3,5.87
SOL,SELECTION,4,53,-9.0,-11.06,-10.37
BTC,travel,0,41,15.0,12.6,13.4
BTC,travel,1,44,-4.0,-6.63,-5.76
BTC,travel,2,34,30.0,28.12,28.74
BTC,travel,3,59,1.0,-2.86,-1.57
BTC,travel,4,42,14.0,10.98,11.99
ETH,travel,0,49,3.0,0.97,1.65
ETH,travel,1,53,7.0,3.47,4.65
ETH,travel,2,48,4.0,1.77,2.51
ETH,travel,3,56,-4.0,-6.02,-5.35
ETH,travel,4,44,-15.12,-16.94,-16.33
XRP,travel,0,36,0.0,-1.22,-0.81
XRP,travel,1,44,-4.0,-6.12,-5.42
XRP,travel,2,29,-1.0,-2.15,-1.77
XRP,travel,3,33,23.0,22.04,22.36
XRP,travel,4,48,12.0,9.7,10.46
