classifier,coin,bucket,n,gross,net06,avgR
RD state,SOL,RD_up,122,26.0,22.17,0.2131
RD state,SOL,RD_range,10,2.0,1.63,0.2
RD state,SOL,RD_down,77,7.0,4.59,0.0909
RD state,BTC,RD_up,96,24.0,18.12,0.25
RD state,BTC,RD_range,13,15.0,13.67,1.1538
RD state,BTC,RD_down,111,17.0,10.43,0.1532
RD state,ETH,RD_up,117,-9.0,-14.29,-0.0769
RD state,ETH,RD_range,28,12.0,10.11,0.4286
RD state,ETH,RD_down,105,-8.12,-12.56,-0.0773
RD state,XRP,RD_up,99,5.0,1.35,0.0505
RD state,XRP,RD_range,22,10.0,8.5,0.4545
RD state,XRP,RD_down,69,15.0,12.39,0.2174
micro_regime direction,SOL,trend_up,68,36.0,33.82,0.5294
micro_regime direction,SOL,trend_down,96,4.0,1.19,0.0417
micro_regime direction,SOL,range,29,3.0,1.96,0.1034
micro_regime direction,SOL,ambiguous,16,-8.0,-8.6,-0.5
micro_regime direction,SOL,warmup,0,0,0,0.0
micro_regime direction,BTC,trend_up,81,27.0,21.92,0.3333
micro_regime direction,BTC,trend_down,86,10.0,4.65,0.1163
micro_regime direction,BTC,range,40,12.0,9.44,0.3
micro_regime direction,BTC,ambiguous,13,7.0,6.2,0.5385
micro_regime direction,BTC,warmup,0,0,0,0.0
micro_regime direction,ETH,trend_up,89,-1.0,-5.12,-0.0112
micro_regime direction,ETH,trend_down,99,9.88,5.57,0.0998
micro_regime direction,ETH,range,43,-7.0,-9.41,-0.1628
micro_regime direction,ETH,ambiguous,19,-7.0,-7.79,-0.3684
micro_regime direction,ETH,warmup,0,0,0,0.0
micro_regime direction,XRP,trend_up,56,4.0,1.75,0.0714
micro_regime direction,XRP,trend_down,74,18.0,15.32,0.2432
micro_regime direction,XRP,range,42,10.0,7.99,0.2381
micro_regime direction,XRP,ambiguous,18,-2.0,-2.81,-0.1111
micro_regime direction,XRP,warmup,0,0,0,0.0
micro_regime vol_state,SOL,low,13,-5.0,-5.5,-0.3846
micro_regime vol_state,SOL,normal,149,19.0,14.21,0.1275
micro_regime vol_state,SOL,high,47,21.0,19.68,0.4468
micro_regime vol_state,SOL,warmup,0,0,0,0.0
micro_regime vol_state,BTC,low,23,9.0,7.48,0.3913
micro_regime vol_state,BTC,normal,131,29.0,20.86,0.2214
micro_regime vol_state,BTC,high,66,18.0,13.86,0.2727
micro_regime vol_state,BTC,warmup,0,0,0,0.0
micro_regime vol_state,ETH,low,16,4.0,3.19,0.25
micro_regime vol_state,ETH,normal,172,-7.12,-15.19,-0.0414
micro_regime vol_state,ETH,high,62,-2.0,-4.75,-0.0323
micro_regime vol_state,ETH,warmup,0,0,0,0.0
micro_regime vol_state,XRP,low,8,0.0,-0.31,0.0
micro_regime vol_state,XRP,normal,137,15.0,9.1,0.1095
micro_regime vol_state,XRP,high,45,15.0,13.45,0.3333
micro_regime vol_state,XRP,warmup,0,0,0,0.0
macro60 regime,SOL,bull,106,22.0,18.7,0.2075
macro60 regime,SOL,bear,103,13.0,9.68,0.1262
macro60 regime,SOL,neutral,0,0,0,0.0
macro60 regime,BTC,bull,135,33.0,24.11,0.2444
macro60 regime,BTC,bear,85,23.0,18.1,0.2706
macro60 regime,BTC,neutral,0,0,0,0.0
macro60 regime,ETH,bull,111,1.0,-4.0,0.009
macro60 regime,ETH,bear,136,-8.0,-14.5,-0.0588
macro60 regime,ETH,neutral,3,1.88,1.76,0.6264
macro60 regime,XRP,bull,63,1.0,-1.44,0.0159
macro60 regime,XRP,bear,126,30.0,24.71,0.2381
macro60 regime,XRP,neutral,1,-1.0,-1.03,-1.0
