tf,coin,ung_n,ung_net06,gated_n,gated_net06,gated_net04,gated_avgR,null_pctl
15m,SOL,809,-95.78,361,-64.02,-56.34,-0.1136,21.5
15m,BTC,860,-115.67,386,-42.16,-26.1,0.0155,44.0
15m,ETH,843,-21.97,405,-10.56,1.96,0.0667,39.0
15m,XRP,820,-24.09,340,-24.59,-15.06,0.0118,23.0
15m,POOLED,3332,-257.52,1492,-141.33,-95.55,-0.0027,23.5
4h,SOL,69,29.9,39,32.36,32.58,0.8462,76.0
4h,BTC,56,9.4,33,2.01,2.34,0.0909,28.0
4h,ETH,55,-1.98,39,4.1,4.4,0.1282,42.5
4h,XRP,52,29.46,26,5.53,5.68,0.2308,22.0
4h,POOLED,232,66.77,137,44.0,45.0,0.3431,50.0
